Archivo      Tiempo          
-----------------------------
002.html     00:00:00.0048515
003.html     00:00:00.0027386
004.html     00:00:00.0004263
005.html     00:00:00.0004270
006.html     00:00:00.0003735
007.html     00:00:00.0004120
008.html     00:00:00.0003146
009.html     00:00:00.0005262
010.html     00:00:00.0003163
011.html     00:00:00.0003399
012.html     00:00:00.0003022
013.html     00:00:00.0002956
014.html     00:00:00.0002934
015.html     00:00:00.0003014
016.html     00:00:00.0003061
017.html     00:00:00.0003018
018.html     00:00:00.0003168
019.html     00:00:00.0003851
020.html     00:00:00.0002784
021.html     00:00:00.0003260
022.html     00:00:00.0003888
023.html     00:00:00.0002920
024.html     00:00:00.0002910
025.html     00:00:00.0002932
026.html     00:00:00.0003125
027.html     00:00:00.0004665
028.html     00:00:00.0003522
029.html     00:00:00.0005345
030.html     00:00:00.0004154
031.html     00:00:00.0003822
032.html     00:00:00.0003427
033.html     00:00:00.0007218
034.html     00:00:00.0003697
035.html     00:00:00.0004514
036.html     00:00:00.0004134
037.html     00:00:00.0005596
038.html     00:00:00.0014755
039.html     00:00:00.0013779
040.html     00:00:00.0005992
041.html     00:00:00.0006427
042.html     00:00:00.0004306
043.html     00:00:00.0008453
044.html     00:00:00.0004821
045.html     00:00:00.0003340
046.html     00:00:00.0003865
047.html     00:00:00.0004749
048.html     00:00:00.0004385
049.html     00:00:00.0003748
050.html     00:00:00.0004722
051.html     00:00:00.0003414
052.html     00:00:00.0003295
053.html     00:00:00.0002949
054.html     00:00:00.0003046
055.html     00:00:00.0002982
056.html     00:00:00.0002876
057.html     00:00:00.0002946
058.html     00:00:00.0003926
059.html     00:00:00.0003196
060.html     00:00:00.0003361
061.html     00:00:00.0003011
062.html     00:00:00.0003020
063.html     00:00:00.0002972
064.html     00:00:00.0003509
065.html     00:00:00.0004798
066.html     00:00:00.0003781
067.html     00:00:00.0003082
068.html     00:00:00.0003079
069.html     00:00:00.0003149
070.html     00:00:00.0003176
071.html     00:00:00.0003246
072.html     00:00:00.0004691
073.html     00:00:00.0005053
074.html     00:00:00.0004451
075.html     00:00:00.0005240
076.html     00:00:00.0004703
