Archivo      Tiempo          
077.html     00:00:00.0004338
078.html     00:00:00.0003877
079.html     00:00:00.0003399
080.html     00:00:00.0003207
081.html     00:00:00.0003023
082.html     00:00:00.0003504
083.html     00:00:00.0003020
084.html     00:00:00.0003180
085.html     00:00:00.0002994
086.html     00:00:00.0003079
087.html     00:00:00.0003117
088.html     00:00:00.0002984
089.html     00:00:00.0002881
090.html     00:00:00.0002829
091.html     00:00:00.0003120
092.html     00:00:00.0002953
093.html     00:00:00.0002960
094.html     00:00:00.0003105
095.html     00:00:00.0003034
096.html     00:00:00.0002988
097.html     00:00:00.0003048
098.html     00:00:00.0003002
099.html     00:00:00.0003431
100.html     00:00:00.0004228
101.html     00:00:00.0005823
102.html     00:00:00.0004290
103.html     00:00:00.0003853
104.html     00:00:00.0003273
105.html     00:00:00.0003627
106.html     00:00:00.0003577
107.html     00:00:00.0003208
108.html     00:00:00.0003160
109.html     00:00:00.0003017
110.html     00:00:00.0002893
111.html     00:00:00.0002872
112.html     00:00:00.0003077
113.html     00:00:00.0007728
114.html     00:00:00.0004647
115.html     00:00:00.0003509
116.html     00:00:00.0003236
117.html     00:00:00.0006902
118.html     00:00:00.0010637
119.html     00:00:00.0004498
120.html     00:00:00.0003805
121.html     00:00:00.0003068
122.html     00:00:00.0002993
123.html     00:00:00.0002907
124.html     00:00:00.0003037
125.html     00:00:00.0002862
126.html     00:00:00.0002842
127.html     00:00:00.0002809
128.html     00:00:00.0002779
129.html     00:00:00.0002884
130.html     00:00:00.0002849
131.html     00:00:00.0002819
132.html     00:00:00.0002767
133.html     00:00:00.0003143
134.html     00:00:00.0002850
135.html     00:00:00.0002769
136.html     00:00:00.0002874
137.html     00:00:00.0003913
138.html     00:00:00.0002865
139.html     00:00:00.0002803
140.html     00:00:00.0003681
141.html     00:00:00.0003458
142.html     00:00:00.0003417
143.html     00:00:00.0005776
144.html     00:00:00.0004422
145.html     00:00:00.0003523
146.html     00:00:00.0003996
147.html     00:00:00.0003312
148.html     00:00:00.0003294
149.html     00:00:00.0003032
150.html     00:00:00.0003161
151.html     00:00:00.0003013
152.html     00:00:00.0003185
153.html     00:00:00.0002834
154.html     00:00:00.0003126
155.html     00:00:00.0002929
156.html     00:00:00.0003121
157.html     00:00:00.0002918
158.html     00:00:00.0003022
159.html     00:00:00.0003210
160.html     00:00:00.0002992
161.html     00:00:00.0003038
162.html     00:00:00.0002887
163.html     00:00:00.0002821
164.html     00:00:00.0003049
165.html     00:00:00.0003000
166.html     00:00:00.0003412
167.html     00:00:00.0004395
168.html     00:00:00.0003879
169.html     00:00:00.0003797
170.html     00:00:00.0005333
171.html     00:00:00.0003337
172.html     00:00:00.0002975
173.html     00:00:00.0002871
174.html     00:00:00.0002923
175.html     00:00:00.0002814
176.html     00:00:00.0003809
177.html     00:00:00.0002870
178.html     00:00:00.0002883
179.html     00:00:00.0003251
180.html     00:00:00.0002897
181.html     00:00:00.0003407
182.html     00:00:00.0002946
183.html     00:00:00.0003207
184.html     00:00:00.0002781
185.html     00:00:00.0002919
186.html     00:00:00.0003086
187.html     00:00:00.0003091
188.html     00:00:00.0003589
189.html     00:00:00.0003027
190.html     00:00:00.0002795
191.html     00:00:00.0003820
192.html     00:00:00.0003792
193.html     00:00:00.0004212
194.html     00:00:00.0005330
195.html     00:00:00.0003736
196.html     00:00:00.0003705
197.html     00:00:00.0003702
198.html     00:00:00.0003132
199.html     00:00:00.0003150
200.html     00:00:00.0002973
201.html     00:00:00.0002955
202.html     00:00:00.0003126
203.html     00:00:00.0004171
204.html     00:00:00.0002957
205.html     00:00:00.0003358
206.html     00:00:00.0003424
207.html     00:00:00.0003438
208.html     00:00:00.0003713
209.html     00:00:00.0003735
210.html     00:00:00.0003847
211.html     00:00:00.0003446
212.html     00:00:00.0003368
213.html     00:00:00.0006569
214.html     00:00:00.0003435
215.html     00:00:00.0003131
216.html     00:00:00.0003516
217.html     00:00:00.0004368
218.html     00:00:00.0004055
219.html     00:00:00.0003525
220.html     00:00:00.0003002
221.html     00:00:00.0003146
222.html     00:00:00.0002972
223.html     00:00:00.0003180
224.html     00:00:00.0003570
225.html     00:00:00.0003056
226.html     00:00:00.0003617
227.html     00:00:00.0002976
228.html     00:00:00.0002939
229.html     00:00:00.0002976
230.html     00:00:00.0003199
231.html     00:00:00.0002895
232.html     00:00:00.0003197
233.html     00:00:00.0005579
234.html     00:00:00.0004331
235.html     00:00:00.0003680
236.html     00:00:00.0003625
237.html     00:00:00.0003245
238.html     00:00:00.0003105
239.html     00:00:00.0003044
240.html     00:00:00.0003393
241.html     00:00:00.0002992
242.html     00:00:00.0003115
243.html     00:00:00.0003912
244.html     00:00:00.0003589
245.html     00:00:00.0003358
246.html     00:00:00.0003725
247.html     00:00:00.0003741
248.html     00:00:00.0003230
249.html     00:00:00.0004470
250.html     00:00:00.0003359
251.html     00:00:00.0003100
252.html     00:00:00.0003495
253.html     00:00:00.0002982
254.html     00:00:00.0004679
255.html     00:00:00.0003845
256.html     00:00:00.0003355
257.html     00:00:00.0002962
258.html     00:00:00.0003309
259.html     00:00:00.0003088
260.html     00:00:00.0004514
261.html     00:00:00.0005000
262.html     00:00:00.0004510
263.html     00:00:00.0005352
264.html     00:00:00.0004878
265.html     00:00:00.0004696
266.html     00:00:00.0004050
267.html     00:00:00.0004029
268.html     00:00:00.0003410
269.html     00:00:00.0004022
270.html     00:00:00.0003283
271.html     00:00:00.0002979
272.html     00:00:00.0003249
273.html     00:00:00.0010320
274.html     00:00:00.0032028
275.html     00:00:00.0004461
276.html     00:00:00.0003624
277.html     00:00:00.0003403
278.html     00:00:00.0003220
279.html     00:00:00.0003994
280.html     00:00:00.0003504
281.html     00:00:00.0003308
282.html     00:00:00.0003997
283.html     00:00:00.0003159
284.html     00:00:00.0003071
285.html     00:00:00.0003006
286.html     00:00:00.0003183
287.html     00:00:00.0003546
288.html     00:00:00.0005933
289.html     00:00:00.0004218
290.html     00:00:00.0003140
291.html     00:00:00.0003111
292.html     00:00:00.0003195
293.html     00:00:00.0003598
294.html     00:00:00.0003786
295.html     00:00:00.0003380
296.html     00:00:00.0003411
297.html     00:00:00.0009367
298.html     00:00:00.0006187
299.html     00:00:00.0004184
300.html     00:00:00.0003878
301.html     00:00:00.0003943
302.html     00:00:00.0004024
303.html     00:00:00.0004747
304.html     00:00:00.0005570
305.html     00:00:00.0003353
306.html     00:00:00.0003172
307.html     00:00:00.0003987
308.html     00:00:00.0003388
309.html     00:00:00.0004132
310.html     00:00:00.0003232
311.html     00:00:00.0003155
312.html     00:00:00.0003200
313.html     00:00:00.0003062
314.html     00:00:00.0002920
315.html     00:00:00.0003221
316.html     00:00:00.0003060
317.html     00:00:00.0002937
318.html     00:00:00.0003058
319.html     00:00:00.0002996
320.html     00:00:00.0003115
321.html     00:00:00.0003230
322.html     00:00:00.0003841
323.html     00:00:00.0004163
324.html     00:00:00.0003982
325.html     00:00:00.0003654
326.html     00:00:00.0003382
327.html     00:00:00.0003473
328.html     00:00:00.0003435
329.html     00:00:00.0003251
330.html     00:00:00.0003607
331.html     00:00:00.0003782
332.html     00:00:00.0003415
333.html     00:00:00.0004877
334.html     00:00:00.0003387
335.html     00:00:00.0003358
336.html     00:00:00.0003712
337.html     00:00:00.0003637
338.html     00:00:00.0004488
339.html     00:00:00.0006174
340.html     00:00:00.0005416
341.html     00:00:00.0005311
342.html     00:00:00.0009944
343.html     00:00:00.0010632
344.html     00:00:00.0007651
345.html     00:00:00.0006253
346.html     00:00:00.0005507
347.html     00:00:00.0004507
348.html     00:00:00.0005842
349.html     00:00:00.0006670
350.html     00:00:00.0014295
351.html     00:00:00.0006525
352.html     00:00:00.0004653
353.html     00:00:00.0004216
354.html     00:00:00.0008334
355.html     00:00:00.0005070
356.html     00:00:00.0003605
357.html     00:00:00.0004063
358.html     00:00:00.0004327
359.html     00:00:00.0004404
360.html     00:00:00.0004650
361.html     00:00:00.0004373
362.html     00:00:00.0004018
363.html     00:00:00.0004322
364.html     00:00:00.0005233
365.html     00:00:00.0004730
366.html     00:00:00.0024783
367.html     00:00:00.0007275
368.html     00:00:00.0012319
369.html     00:00:00.0006740
370.html     00:00:00.0006521
371.html     00:00:00.0006275
372.html     00:00:00.0006804
373.html     00:00:00.0009450
374.html     00:00:00.0007799
375.html     00:00:00.0015260
376.html     00:00:00.0005218
377.html     00:00:00.0005502
378.html     00:00:00.0013170
379.html     00:00:00.0005122
380.html     00:00:00.0004141
381.html     00:00:00.0003833
382.html     00:00:00.0003984
383.html     00:00:00.0004178
384.html     00:00:00.0003607
385.html     00:00:00.0003448
386.html     00:00:00.0003066
387.html     00:00:00.0032002
388.html     00:00:00.0012774
389.html     00:00:00.0012064
390.html     00:00:00.0006008
391.html     00:00:00.0003807
392.html     00:00:00.0003389
393.html     00:00:00.0003971
394.html     00:00:00.0003427
395.html     00:00:00.0003538
396.html     00:00:00.0004056
397.html     00:00:00.0003543
398.html     00:00:00.0006370
399.html     00:00:00.0004926
400.html     00:00:00.0005157
401.html     00:00:00.0005457
402.html     00:00:00.0004621
403.html     00:00:00.0011155
404.html     00:00:00.0005130
405.html     00:00:00.0005819
406.html     00:00:00.0004119
407.html     00:00:00.0006194
408.html     00:00:00.0005849
409.html     00:00:00.0005363
410.html     00:00:00.0008714
411.html     00:00:00.0014436
412.html     00:00:00.0025280
413.html     00:00:00.0006900
414.html     00:00:00.0007938
415.html     00:00:00.0005048
416.html     00:00:00.0007225
417.html     00:00:00.0003913
418.html     00:00:00.0005485
419.html     00:00:00.0003341
420.html     00:00:00.0003969
421.html     00:00:00.0005138
422.html     00:00:00.0004720
423.html     00:00:00.0005529
424.html     00:00:00.0004169
425.html     00:00:00.0006674
426.html     00:00:00.0005105
427.html     00:00:00.0003629
428.html     00:00:00.0003550
429.html     00:00:00.0005085
430.html     00:00:00.0005039
431.html     00:00:00.0006026
432.html     00:00:00.0015950
433.html     00:00:00.0041298
434.html     00:00:00.0019432
435.html     00:00:00.0015346
436.html     00:00:00.0011863
437.html     00:00:00.0019993
438.html     00:00:00.0005476
439.html     00:00:00.0004680
440.html     00:00:00.0004003
441.html     00:00:00.0004694
442.html     00:00:00.0003747
443.html     00:00:00.0004712
444.html     00:00:00.0006771
445.html     00:00:00.0006080
446.html     00:00:00.0004038
447.html     00:00:00.0004555
448.html     00:00:00.0003662
449.html     00:00:00.0003176
450.html     00:00:00.0003786
451.html     00:00:00.0003377
452.html     00:00:00.0003446
453.html     00:00:00.0004554
454.html     00:00:00.0006469
455.html     00:00:00.0004191
456.html     00:00:00.0006543
457.html     00:00:00.0005630
458.html     00:00:00.0005532
459.html     00:00:00.0005360
460.html     00:00:00.0003716
461.html     00:00:00.0003984
462.html     00:00:00.0004299
463.html     00:00:00.0003680
464.html     00:00:00.0003438
465.html     00:00:00.0009511
466.html     00:00:00.0003902
467.html     00:00:00.0003010
468.html     00:00:00.0003018
469.html     00:00:00.0004805
470.html     00:00:00.0003778
471.html     00:00:00.0003681
472.html     00:00:00.0004069
473.html     00:00:00.0003377
474.html     00:00:00.0003754
475.html     00:00:00.0003290
476.html     00:00:00.0003080
477.html     00:00:00.0003608
478.html     00:00:00.0003482
479.html     00:00:00.0003169
480.html     00:00:00.0004694
481.html     00:00:00.0003189
482.html     00:00:00.0003187
483.html     00:00:00.0003329
484.html     00:00:00.0003116
485.html     00:00:00.0002855
486.html     00:00:00.0003221
487.html     00:00:00.0003173
488.html     00:00:00.0003204
489.html     00:00:00.0003008
490.html     00:00:00.0002987
491.html     00:00:00.0002854
492.html     00:00:00.0004063
493.html     00:00:00.0003166
494.html     00:00:00.0003281
495.html     00:00:00.0004092
496.html     00:00:00.0003298
497.html     00:00:00.0004538
498.html     00:00:00.0005521
499.html     00:00:00.0005224
500.html     00:00:00.0004133
501.html     00:00:00.0004494
502.html     00:00:00.0003804
503.html     00:00:00.0003594
hard.html    00:00:00.0004569
medium.html  00:00:00.0003067
simple.html  00:00:00.0003015

Tiempo total en ejecutar el programa: 00:00:00.3092560
