Archivo      Tiempo          
229.html     00:00:00.0041322
230.html     00:00:00.0021134
231.html     00:00:00.0014314
232.html     00:00:00.0022967
233.html     00:00:00.0039542
234.html     00:00:00.0072550
235.html     00:00:00.0044908
236.html     00:00:00.0030144
237.html     00:00:00.0022188
238.html     00:00:00.0033416
239.html     00:00:00.0028380
240.html     00:00:00.0064856
241.html     00:00:00.0025231
242.html     00:00:00.0036163
243.html     00:00:00.0092226
244.html     00:00:00.0044989
245.html     00:00:00.0027980
246.html     00:00:00.0046621
247.html     00:00:00.0049467
248.html     00:00:00.0026786
249.html     00:00:00.0123446
250.html     00:00:00.0034677
251.html     00:00:00.0030046
252.html     00:00:00.0053125
253.html     00:00:00.0018319
254.html     00:00:00.0028488
255.html     00:00:00.0023867
256.html     00:00:00.0034677
257.html     00:00:00.0020308
258.html     00:00:00.0052693
259.html     00:00:00.0025496
260.html     00:00:00.0058481
261.html     00:00:00.0020052
262.html     00:00:00.0023629
263.html     00:00:00.0019732
264.html     00:00:00.0024279
265.html     00:00:00.0013137
266.html     00:00:00.0042844
267.html     00:00:00.0038467
268.html     00:00:00.0019560
269.html     00:00:00.0078725
270.html     00:00:00.0023992
271.html     00:00:00.0018565
272.html     00:00:00.0048029
273.html     00:00:00.0026766
274.html     00:00:00.0026502
275.html     00:00:00.0020623
276.html     00:00:00.0037180
277.html     00:00:00.0041168
278.html     00:00:00.0027578
279.html     00:00:00.0091391
280.html     00:00:00.0060366
281.html     00:00:00.0067068
282.html     00:00:00.0091159
283.html     00:00:00.0055884
284.html     00:00:00.0038310
285.html     00:00:00.0030280
286.html     00:00:00.0044158
287.html     00:00:00.0044918
288.html     00:00:00.0016780
289.html     00:00:00.0127710
290.html     00:00:00.0033765
291.html     00:00:00.0022184
292.html     00:00:00.0055910
293.html     00:00:00.0014332
294.html     00:00:00.0021392
295.html     00:00:00.0035985
296.html     00:00:00.0017657
297.html     00:00:00.0016127
298.html     00:00:00.0114067
299.html     00:00:00.0055195
300.html     00:00:00.0027279
301.html     00:00:00.0040318
302.html     00:00:00.0026987
303.html     00:00:00.0099437
304.html     00:00:00.0141938
305.html     00:00:00.0020866
306.html     00:00:00.0022448
307.html     00:00:00.0111851
308.html     00:00:00.0072676
309.html     00:00:00.0110503
310.html     00:00:00.0037195
311.html     00:00:00.0044894
312.html     00:00:00.0018402
313.html     00:00:00.0031642
314.html     00:00:00.0018034
315.html     00:00:00.0037494
316.html     00:00:00.0020416
317.html     00:00:00.0013975
318.html     00:00:00.0034214
319.html     00:00:00.0018885
320.html     00:00:00.0024071
321.html     00:00:00.0022521
322.html     00:00:00.0022131
323.html     00:00:00.0043818
324.html     00:00:00.0014410
325.html     00:00:00.0072679
326.html     00:00:00.0048800
327.html     00:00:00.0017679
328.html     00:00:00.0055717
329.html     00:00:00.0026354
330.html     00:00:00.0020471
331.html     00:00:00.0065242
332.html     00:00:00.0025591
333.html     00:00:00.0120769
334.html     00:00:00.0041955
335.html     00:00:00.0035277
336.html     00:00:00.0093084
337.html     00:00:00.0063109
338.html     00:00:00.0132465
339.html     00:00:00.0114215
340.html     00:00:00.0109352
341.html     00:00:00.0101487
342.html     00:00:00.0115188
343.html     00:00:00.0094554
344.html     00:00:00.0113103
345.html     00:00:00.0101795
346.html     00:00:00.0118457
347.html     00:00:00.0101738
348.html     00:00:00.0112864
349.html     00:00:00.0217663
350.html     00:00:00.0111229
351.html     00:00:00.0145525
352.html     00:00:00.0074330
353.html     00:00:00.0083244
354.html     00:00:00.0129016
355.html     00:00:00.0111743
356.html     00:00:00.0039538
357.html     00:00:00.0043363
358.html     00:00:00.0098325
359.html     00:00:00.0105105
360.html     00:00:00.0119847
361.html     00:00:00.0112941
362.html     00:00:00.0102406
363.html     00:00:00.0153295
364.html     00:00:00.0156144
365.html     00:00:00.0115387
366.html     00:00:00.0106705
367.html     00:00:00.0088606
368.html     00:00:00.0100003
369.html     00:00:00.0120631
370.html     00:00:00.0125694
371.html     00:00:00.0105326
372.html     00:00:00.0102331
373.html     00:00:00.0136067
374.html     00:00:00.0109772
375.html     00:00:00.0122105
376.html     00:00:00.0126314
377.html     00:00:00.0119801
378.html     00:00:00.0044621
379.html     00:00:00.0044864
380.html     00:00:00.0094373
381.html     00:00:00.0103085
382.html     00:00:00.0098853
383.html     00:00:00.0119650
384.html     00:00:00.0047676
385.html     00:00:00.0085257
386.html     00:00:00.0050011
387.html     00:00:00.0027021
388.html     00:00:00.0056279
389.html     00:00:00.0084285
390.html     00:00:00.0088755
391.html     00:00:00.0056251
392.html     00:00:00.0068980
393.html     00:00:00.0072220
394.html     00:00:00.0054548
395.html     00:00:00.0043941
396.html     00:00:00.0026876
397.html     00:00:00.0073112
398.html     00:00:00.0032544
399.html     00:00:00.0016490
400.html     00:00:00.0016811
