Archivo      Tiempo          
-----------------------------
002.html     00:00:00.0019387
003.html     00:00:00.0011722
004.html     00:00:00.0013090
005.html     00:00:00.0019225
006.html     00:00:00.0014548
007.html     00:00:00.0016756
008.html     00:00:00.0014901
009.html     00:00:00.0059142
010.html     00:00:00.0024629
011.html     00:00:00.0016952
012.html     00:00:00.0019245
013.html     00:00:00.0013626
014.html     00:00:00.0017310
015.html     00:00:00.0018587
016.html     00:00:00.0014484
017.html     00:00:00.0017794
018.html     00:00:00.0012746
019.html     00:00:00.0014250
020.html     00:00:00.0016559
021.html     00:00:00.0012626
022.html     00:00:00.0062363
023.html     00:00:00.0012724
024.html     00:00:00.0012639
025.html     00:00:00.0014110
026.html     00:00:00.0012244
027.html     00:00:00.0015232
028.html     00:00:00.0012427
029.html     00:00:00.0013168
030.html     00:00:00.0011817
031.html     00:00:00.0015245
032.html     00:00:00.0048715
033.html     00:00:00.0013488
034.html     00:00:00.0012319
035.html     00:00:00.0010119
036.html     00:00:00.0010380
037.html     00:00:00.0011351
038.html     00:00:00.0011231
039.html     00:00:00.0011455
040.html     00:00:00.0012305
041.html     00:00:00.0015077
042.html     00:00:00.0022944
043.html     00:00:00.0031736
044.html     00:00:00.0014676
045.html     00:00:00.0012217
046.html     00:00:00.0012437
047.html     00:00:00.0016308
048.html     00:00:00.0011734
049.html     00:00:00.0012194
050.html     00:00:00.0013853
051.html     00:00:00.0022177
052.html     00:00:00.0028280
053.html     00:00:00.0021767
054.html     00:00:00.0017176
055.html     00:00:00.0012283
056.html     00:00:00.0010851
057.html     00:00:00.0011503
058.html     00:00:00.0013811
059.html     00:00:00.0011793
060.html     00:00:00.0012510
061.html     00:00:00.0018696
062.html     00:00:00.0023986
063.html     00:00:00.0014256
064.html     00:00:00.0011442
065.html     00:00:00.0011574
066.html     00:00:00.0012812
067.html     00:00:00.0011486
068.html     00:00:00.0016792
069.html     00:00:00.0016945
070.html     00:00:00.0013645
071.html     00:00:00.0020943
072.html     00:00:00.0031299
073.html     00:00:00.0013162
074.html     00:00:00.0014424
075.html     00:00:00.0041096
076.html     00:00:00.0017973
077.html     00:00:00.0016931
078.html     00:00:00.0028462
079.html     00:00:00.0015001
080.html     00:00:00.0025952
081.html     00:00:00.0013566
082.html     00:00:00.0012082
083.html     00:00:00.0011959
084.html     00:00:00.0011644
085.html     00:00:00.0011923
086.html     00:00:00.0011685
087.html     00:00:00.0024964
088.html     00:00:00.0014969
089.html     00:00:00.0012534
090.html     00:00:00.0018658
091.html     00:00:00.0019847
092.html     00:00:00.0013684
093.html     00:00:00.0012219
094.html     00:00:00.0012597
095.html     00:00:00.0013960
096.html     00:00:00.0011624
097.html     00:00:00.0012495
098.html     00:00:00.0011726
099.html     00:00:00.0013615
100.html     00:00:00.0011424
101.html     00:00:00.0013727
102.html     00:00:00.0013913
103.html     00:00:00.0014609
104.html     00:00:00.0016034
105.html     00:00:00.0011789
106.html     00:00:00.0011635
107.html     00:00:00.0010444
108.html     00:00:00.0011012
109.html     00:00:00.0015008
110.html     00:00:00.0013725
111.html     00:00:00.0012712
112.html     00:00:00.0011504
113.html     00:00:00.0010832
114.html     00:00:00.0013537
115.html     00:00:00.0021661
116.html     00:00:00.0015096
117.html     00:00:00.0014838
118.html     00:00:00.0014469
119.html     00:00:00.0014049
120.html     00:00:00.0013332
121.html     00:00:00.0011153
122.html     00:00:00.0011359
123.html     00:00:00.0010880
124.html     00:00:00.0011819
125.html     00:00:00.0010500
126.html     00:00:00.0010675
127.html     00:00:00.0012105
128.html     00:00:00.0014660
129.html     00:00:00.0015639
130.html     00:00:00.0011377
131.html     00:00:00.0014152
132.html     00:00:00.0013971
133.html     00:00:00.0018388
134.html     00:00:00.0014386
135.html     00:00:00.0013066
136.html     00:00:00.0012665
137.html     00:00:00.0018743
138.html     00:00:00.0013917
139.html     00:00:00.0013866
140.html     00:00:00.0017658
141.html     00:00:00.0015126
142.html     00:00:00.0014261
143.html     00:00:00.0012601
144.html     00:00:00.0012250
145.html     00:00:00.0014264
146.html     00:00:00.0013685
147.html     00:00:00.0018898
148.html     00:00:00.0011850
149.html     00:00:00.0012798
150.html     00:00:00.0017359
151.html     00:00:00.0013778
152.html     00:00:00.0015377
153.html     00:00:00.0011101
154.html     00:00:00.0016130
155.html     00:00:00.0012468
156.html     00:00:00.0011340
157.html     00:00:00.0010234
158.html     00:00:00.0010441
159.html     00:00:00.0012316
160.html     00:00:00.0011264
161.html     00:00:00.0011385
162.html     00:00:00.0010147
163.html     00:00:00.0010372
164.html     00:00:00.0013695
165.html     00:00:00.0015428
166.html     00:00:00.0013361
167.html     00:00:00.0014988
168.html     00:00:00.0011026
169.html     00:00:00.0010245
170.html     00:00:00.0010901
171.html     00:00:00.0011454
172.html     00:00:00.0010736
173.html     00:00:00.0013018
174.html     00:00:00.0010558
175.html     00:00:00.0010641
176.html     00:00:00.0049971
177.html     00:00:00.0016427
178.html     00:00:00.0016279
179.html     00:00:00.0016349
180.html     00:00:00.0013379
181.html     00:00:00.0014561
182.html     00:00:00.0011538
183.html     00:00:00.0026464
184.html     00:00:00.0021568
185.html     00:00:00.0021351
186.html     00:00:00.0012419
187.html     00:00:00.0011180
188.html     00:00:00.0010595
189.html     00:00:00.0012332
190.html     00:00:00.0011676
191.html     00:00:00.0012746
192.html     00:00:00.0012026
193.html     00:00:00.0027308
194.html     00:00:00.0028562
195.html     00:00:00.0023045
196.html     00:00:00.0014101
197.html     00:00:00.0013708
198.html     00:00:00.0011451
199.html     00:00:00.0011688
200.html     00:00:00.0011845
201.html     00:00:00.0011619
202.html     00:00:00.0012440
203.html     00:00:00.0028381
204.html     00:00:00.0012728
205.html     00:00:00.0012115
206.html     00:00:00.0011345
207.html     00:00:00.0015565
208.html     00:00:00.0012303
209.html     00:00:00.0012055
210.html     00:00:00.0010767
211.html     00:00:00.0011167
212.html     00:00:00.0012600
213.html     00:00:00.0062229
214.html     00:00:00.0012095
215.html     00:00:00.0011693
216.html     00:00:00.0012048
217.html     00:00:00.0013939
218.html     00:00:00.0010822
219.html     00:00:00.0010412
220.html     00:00:00.0010395
221.html     00:00:00.0010167
222.html     00:00:00.0011238
223.html     00:00:00.0011746
224.html     00:00:00.0012466
225.html     00:00:00.0013128
226.html     00:00:00.0012789
227.html     00:00:00.0010387
228.html     00:00:00.0010031
229.html     00:00:00.0011538
230.html     00:00:00.0011928
231.html     00:00:00.0013353
232.html     00:00:00.0014166
233.html     00:00:00.0015429
234.html     00:00:00.0018085
235.html     00:00:00.0014890
236.html     00:00:00.0014637
237.html     00:00:00.0023777
238.html     00:00:00.0015249
239.html     00:00:00.0014450
240.html     00:00:00.0023569
241.html     00:00:00.0017919
242.html     00:00:00.0015767
243.html     00:00:00.0019443
244.html     00:00:00.0016030
245.html     00:00:00.0013606
246.html     00:00:00.0015072
247.html     00:00:00.0015817
248.html     00:00:00.0012821
249.html     00:00:00.0023256
250.html     00:00:00.0020390
251.html     00:00:00.0020401
252.html     00:00:00.0019664
253.html     00:00:00.0012575
254.html     00:00:00.0013934
255.html     00:00:00.0012301
256.html     00:00:00.0014311
257.html     00:00:00.0012749
258.html     00:00:00.0021343
259.html     00:00:00.0014027
260.html     00:00:00.0019459
261.html     00:00:00.0016078
262.html     00:00:00.0014572
263.html     00:00:00.0018125
264.html     00:00:00.0021481
265.html     00:00:00.0014724
266.html     00:00:00.0016902
267.html     00:00:00.0018755
268.html     00:00:00.0014714
269.html     00:00:00.0055987
270.html     00:00:00.0052353
271.html     00:00:00.0015833
272.html     00:00:00.0030926
273.html     00:00:00.0028707
274.html     00:00:00.0057019
275.html     00:00:00.0022453
276.html     00:00:00.0071126
277.html     00:00:00.0026861
278.html     00:00:00.0042190
279.html     00:00:00.0094172
280.html     00:00:00.0037978
281.html     00:00:00.0025309
282.html     00:00:00.0040897
283.html     00:00:00.0021567
284.html     00:00:00.0016995
285.html     00:00:00.0016001
286.html     00:00:00.0017980
287.html     00:00:00.0021150
288.html     00:00:00.0049127
289.html     00:00:00.0040653
290.html     00:00:00.0045839
291.html     00:00:00.0052981
292.html     00:00:00.0021708
293.html     00:00:00.0014132
294.html     00:00:00.0016172
295.html     00:00:00.0017112
296.html     00:00:00.0013350
297.html     00:00:00.0025888
298.html     00:00:00.0039614
299.html     00:00:00.0031355
300.html     00:00:00.0015630
301.html     00:00:00.0017165
302.html     00:00:00.0014581
303.html     00:00:00.0027941
304.html     00:00:00.0036360
305.html     00:00:00.0026808
306.html     00:00:00.0016983
307.html     00:00:00.0026552
308.html     00:00:00.0020726
309.html     00:00:00.0069812
310.html     00:00:00.0020524
311.html     00:00:00.0022391
312.html     00:00:00.0014712
313.html     00:00:00.0017450
314.html     00:00:00.0014897
315.html     00:00:00.0019542
316.html     00:00:00.0039122
317.html     00:00:00.0013794
318.html     00:00:00.0015154
319.html     00:00:00.0013862
320.html     00:00:00.0014691
321.html     00:00:00.0016588
322.html     00:00:00.0013814
323.html     00:00:00.0016041
324.html     00:00:00.0014039
325.html     00:00:00.0020585
326.html     00:00:00.0017154
327.html     00:00:00.0013290
328.html     00:00:00.0016978
329.html     00:00:00.0015549
330.html     00:00:00.0014224
331.html     00:00:00.0019974
332.html     00:00:00.0013457
333.html     00:00:00.0026924
334.html     00:00:00.0019271
335.html     00:00:00.0020044
336.html     00:00:00.0110692
337.html     00:00:00.0012803
338.html     00:00:00.0155238
339.html     00:00:00.0017868
340.html     00:00:00.0018388
341.html     00:00:00.0014373
342.html     00:00:00.0125691
343.html     00:00:00.0030407
344.html     00:00:00.0129456
345.html     00:00:00.0015681
346.html     00:00:00.0071775
347.html     00:00:00.0091625
348.html     00:00:00.0024139
349.html     00:00:00.0020984
350.html     00:00:00.0126464
351.html     00:00:00.0016840
352.html     00:00:00.0013611
353.html     00:00:00.0014022
354.html     00:00:00.0032239
355.html     00:00:00.0022495
356.html     00:00:00.0017536
357.html     00:00:00.0016561
358.html     00:00:00.0018102
359.html     00:00:00.0018079
360.html     00:00:00.0016943
361.html     00:00:00.0016469
362.html     00:00:00.0016401
363.html     00:00:00.0018017
364.html     00:00:00.0140641
365.html     00:00:00.0113595
366.html     00:00:00.0094766
367.html     00:00:00.0017333
368.html     00:00:00.0016280
369.html     00:00:00.0020839
370.html     00:00:00.0019644
371.html     00:00:00.0025908
372.html     00:00:00.0052956
373.html     00:00:00.0047884
374.html     00:00:00.0019968
375.html     00:00:00.0019222
376.html     00:00:00.0062436
377.html     00:00:00.0024586
378.html     00:00:00.0083293
379.html     00:00:00.0033305
380.html     00:00:00.0030542
381.html     00:00:00.0069609
382.html     00:00:00.0045014
383.html     00:00:00.0022009
384.html     00:00:00.0016183
385.html     00:00:00.0016798
